genus_Akkermansia genus_Alistipes genus_Anaerotruncus genus_Anaerovorax genus_Bacteroides genus_Barnesiella genus_Bilophila genus_Blautia genus_Butyricicoccus genus_Butyricimonas genus_Clostridium.IV genus_Clostridium.XI genus_Clostridium.XVIII genus_Clostridium.XlVa genus_Clostridium.XlVb genus_Clostridium.sensu.stricto genus_Collinsella genus_Coprococcus genus_Dorea genus_Eggerthella genus_Erysipelotrichaceae_incertae_sedis genus_Faecalibacterium genus_Flavonifractor genus_Holdemania genus_Lachnospiracea_incertae_sedis genus_Odoribacter genus_Oscillibacter genus_Parabacteroides genus_Parasutterella genus_Phascolarctobacterium genus_Prevotella genus_Pseudoflavonifractor genus_Roseburia genus_Ruminococcus genus_Streptococcus genus_Veillonella genus_unclassified_Bacteria genus_unclassified_Clostridiales genus_unclassified_Clostridiales_Incertae.Sedis.XIII genus_unclassified_Coriobacteriaceae genus_unclassified_Erysipelotrichaceae genus_unclassified_Firmicutes genus_unclassified_Lachnospiraceae genus_unclassified_Porphyromonadaceae genus_unclassified_Ruminococcaceae
ZIS22OE-02 0.001757095 0.079175763 0.00181034 0.000106491 0.455034343 0.067728023 0.000958415 0.02742133 0.001277887 0 0.000266227 5.32e-05 0.000319472 0.000532453 0.001118151 0.000106491 0.018955327 0.002449284 0.001597359 0.000159736 0.000372717 0.067568287 0.00079868 5.32e-05 0.017251478 0.001544114 0.032692615 0.049358394 0.027208349 0.008466003 5.32e-05 0.000159736 0.006762153 0.013737288 0.000319472 0 0.012725627 0.031893935 0 0.001437623 0.001064906 0.002023321 0.024918801 0 0.02119163
ZJOSZHK-01 0 0.067094868 0.00018093 0 0.49855256 0.034316386 0.00030155 0.016434473 0.00108558 0 0 0 6.03e-05 0.00235209 0.000150775 0 0 0.00253302 0.004824799 0.000452325 0.00048248 0.054399614 0.000271395 3.02e-05 0.04622761 0.007146734 0.04779567 0.025631747 0 0.019751523 3.02e-05 0 0.000150775 0 0.000512635 9.05e-05 0.003286895 0.005789759 6.03e-05 0.00072372 0.001477595 0.00030155 0.039141186 0 0.026626862
ZJXC41N-03 0.004413647 0.096570596 0.000176546 0 0.186520722 0 0 0.002913007 0.000397228 0.001765459 0.001412367 0.000573774 0 0.000308955 0.000132409 0.000220682 0.000573774 0.001412367 0.000529638 0.000132409 0.001147548 0.012843713 0.000264819 4.41e-05 0.007238381 0.001942005 0.05614159 0.036942225 0.005208103 0.001809595 0.000353092 0.000220682 0.001588913 0.005031558 0 0.000706184 0.036809816 0.403186653 0.000132409 4.41e-05 0 0.004281238 0.012799576 0 0.097806417
ZK112BX-01 0.003413741 0.00601361 0.000158253 0.000316506 0.086157394 0.00924649 0.000339113 0.051454796 0.004544119 0.000723442 0.000949517 0.003391133 0 0.000452151 0.001537314 2.26e-05 0.042660457 0.008613479 0.025953474 0.000158253 9.04e-05 0.069925169 0.004589334 9.04e-05 0.052268668 0.000565189 0.007505708 0.009223883 0.000271291 0.000203468 0.020098117 0 0.007189203 0.033707865 0.000429544 4.52e-05 0.041643117 0.01433319 0.002622476 0.002283363 0.013722786 0.018108652 0.048334954 0 0.030022834
ZK4CK8Y-01 0.021874815 0.040264624 0.000413475 0.000433165 0.080017327 0.00112229 0.000511922 0.010829117 0.000255961 0.001260115 0.010080923 0.001555455 0.001279805 0.000669436 0.000748194 5.91e-05 0.003248735 0.002500541 0.001634212 0 0.000118136 0.092520034 0.000255961 3.94e-05 0.068735356 0.009549312 0.024651007 0.193565536 0.010927563 0.003406249 1.97e-05 0.000255961 0.003071531 0.00253992 0.005394869 0.000315029 0.088247455 0.109039359 0.000315029 0.001240426 0.01837012 0.015928646 0.072456634 0.001220737 0.081749985
ZKFV71L-01 0.001252826 0.023498136 9.17e-05 0.000977816 0.247723523 0.008861456 0.000122227 0.013842205 0.002475096 0.002261199 0.001252826 0.000611135 0.001252826 0.000366681 0.000977816 0.003208458 0.000488908 0.001680621 0.003697366 0.001008373 0.000213897 0.070372181 0.000458351 0 0.074650125 0.003666809 0.019770213 0.011886573 0.008464218 0 0 0.000977816 0.0054391 0.035506936 0.001680621 0.000916702 0.108690338 0.05818004 0.000519465 0.001283383 0.009869828 0.006172462 0.11064597 0.050357514 0.083419911
ZL63I8R-04 0.034366104 0.094970915 0.000206279 4.13e-05 0.595569124 0 0 0.011097818 0.000247535 0 0.01670861 0 0.000330047 0.001939024 0.003589257 0 0.002846652 0.00523949 0.001361442 0.000165023 4.13e-05 0.02145303 0.000742605 4.13e-05 0.04063699 0.000866372 0.022814473 0.00375428 0.019266471 0.043153595 0 0.000330047 0.007137258 0 0 0 0.00523949 0.001113907 8.25e-05 0.001361442 0.00474442 0.000825117 0.022113123 0 0.034819918
ZL9BTWF-04 0.069480204 0.011119818 0 0.000111944 0.13231837 0 0 0.01500056 0.002835927 0.000522408 0.001455278 0 3.73e-05 0.004776298 0.001306019 0.000186574 0.002313519 0.001753797 0.004813612 0 0.003992686 0.013545282 0.000485093 7.46e-05 0.031754916 0 0.00115676 0.025709915 0.037501399 0.02977723 0.495503564 0 0.010448151 0 0.00432852 0.000485093 0.011903429 0.001940371 0.000149259 0.000186574 0.008022687 0.004813612 0.039553715 0 0.022165006
ZLGD9M0-05 0.11277514 0.009559776 0.000345274 0.000280535 0.140310747 0.003754855 0.000539491 0.037009063 0.001467415 0 0.001855848 0.051899007 4.32e-05 0.000798446 0.000107898 0.00640915 0 0.004315926 0.029715149 0.000366854 0.000388433 0.021795425 0.00056107 0.001402676 0.065602072 0.000517911 0.014285714 0.005006474 6.47e-05 0.022356495 0.000129478 0.001661631 0.027017695 0.027470868 0.025312905 0.000323694 0.015817868 0.025981873 0.003323263 0.002611135 0.01512732 0.005179111 0.07788088 8.63e-05 0.152762192
ZLPRB8E-06 0.00139377 0.062840868 6.06e-05 6.06e-05 0.386256211 0.029026785 0 0.00424191 0.00187856 0.002969337 0.060174524 0.000121197 0 0.000363592 0.001454369 0 0.000969579 0.004969095 0.000727185 0.000121197 0 0.048418374 0.000424191 0 0.037510605 0.005938674 0.046055024 0.017997818 0.010786571 0 0 0 0.011937947 0.002484547 0.000181796 0.000363592 0.026966428 0.07502121 0.000121197 6.06e-05 0.001696764 0.026542237 0.034662465 0.001272573 0.075808993
ZLPZS0H-05 0 0.023090909 6.06e-05 0 0.612424242 0 0.000424242 0.007515152 0.001090909 0.000545455 0.007515152 0.000484848 0 0.000121212 0.001515152 0 0.01 0.010363636 0.002606061 0.000909091 0.004242424 0.115878788 0.000424242 6.06e-05 0.039818182 0.000727273 0.010727273 0.009090909 0.00369697 0.010424242 0 0.000181818 0.016424242 0.007515152 0.000121212 0 0.007939394 0.001515152 0 0.000545455 0.002 0.000484848 0.043333333 0.001393939 0.014727273
ZLTUJTN-05 0 0.007980503 0.003058396 0 0.116744719 0 0.000430087 0.104081048 0.001576986 0 0.0003823 0 4.78e-05 0.003201759 0.011612348 0 0.013093759 9.56e-05 0.006594667 0.000334512 0.000860174 0.048647615 0.001481411 0 0.118704005 0 0.05342636 0.100783714 0 0 0.025518494 0.000525662 0.006451305 0.015435344 0.006069005 0 0.011182261 0.007693778 4.78e-05 0.002293797 0.00578228 0.001051324 0.051036987 0.010895537 0.194590462
